2023-01-29 02:15:19, Download: 93,451344 Mbits/s, Upload: 93,467808 Mbits/s, Jitter: 0,126 ms, Lost: 0 %, Latencia: 1,045 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 02:33:15, Download: 93,601304 Mbits/s, Upload: 93,496080 Mbits/s, Jitter: 0,072 ms, Lost: 0 %, Latencia: 0,96 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 02:50:54, Download: 93,623464 Mbits/s, Upload: 93,496400 Mbits/s, Jitter: 0,09 ms, Lost: 0 %, Latencia: 1,076 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 03:08:32, Download: 93,508120 Mbits/s, Upload: 93,464776 Mbits/s, Jitter: 0,105 ms, Lost: 0 %, Latencia: 1,013 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 03:26:07, Download: 93,950496 Mbits/s, Upload: 93,478880 Mbits/s, Jitter: 0,086 ms, Lost: 0 %, Latencia: 0,972 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 03:43:42, Download: 93,591000 Mbits/s, Upload: 93,484504 Mbits/s, Jitter: 0,091 ms, Lost: 0 %, Latencia: 1,04 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 04:01:17, Download: 93,506704 Mbits/s, Upload: 93,488384 Mbits/s, Jitter: 0,144 ms, Lost: 0 %, Latencia: 1,013 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 04:18:57, Download: 93,504336 Mbits/s, Upload: 93,470968 Mbits/s, Jitter: 0,152 ms, Lost: 0 %, Latencia: 0,98 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 04:36:50, Download: 93,583712 Mbits/s, Upload: 93,485256 Mbits/s, Jitter: 0,087 ms, Lost: 0 %, Latencia: 1,04 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 04:54:31, Download: 93,537104 Mbits/s, Upload: 93,499232 Mbits/s, Jitter: 0,223 ms, Lost: 0 %, Latencia: 0,991 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 05:12:06, Download: 93,418368 Mbits/s, Upload: 93,458656 Mbits/s, Jitter: 0,067 ms, Lost: 0 %, Latencia: 0,998 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 05:29:48, Download: 93,563144 Mbits/s, Upload: 93,488552 Mbits/s, Jitter: 0,128 ms, Lost: 0 %, Latencia: 1,08 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 05:47:20, Download: 93,692688 Mbits/s, Upload: 93,491368 Mbits/s, Jitter: 0,139 ms, Lost: 0 %, Latencia: 1,029 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-29 06:04:55, Download: 93,819944 Mbits/s, Upload: 93,509320 Mbits/s, Jitter: 0,169 ms, Lost: 0 %, Latencia: 1,195 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
